Title,Categories,Region,Duration,Release Date,Score,Cover URL,Detail URL
霸王别姬 - Farewell My Concubine,"剧情, 爱情",中国内地、中国香港,171 分钟,1993-07-26 上映,9.5,https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/1
这个杀手不太冷 - Léon,"剧情, 动作, 犯罪",法国,110 分钟,1994-09-14 上映,9.5,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/2
肖申克的救赎 - The Shawshank Redemption,"剧情, 犯罪",美国,142 分钟,1994-09-10 上映,9.5,https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/3
泰坦尼克号 - Titanic,"剧情, 爱情, 灾难",美国,194 分钟,1998-04-03 上映,9.5,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/4
罗马假日 - Roman Holiday,"剧情, 喜剧, 爱情",美国,118 分钟,1953-08-20 上映,9.5,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/5
唐伯虎点秋香 - Flirting Scholar,"喜剧, 爱情, 古装",中国香港,102 分钟,1993-07-01 上映,9.5,https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/6
乱世佳人 - Gone with the Wind,"剧情, 爱情, 历史, 战争",美国,238 分钟,1939-12-15 上映,9.5,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/7
喜剧之王 - The King of Comedy,"剧情, 喜剧, 爱情",中国香港,85 分钟,1999-02-13 上映,9.5,https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/8
楚门的世界 - The Truman Show,"剧情, 科幻",美国,103 分钟,,9.0,https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/9
狮子王 - The Lion King,"动画, 歌舞, 冒险",美国,89 分钟,1995-07-15 上映,9.0,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/10
V字仇杀队 - V for Vendetta,"剧情, 动作, 科幻, 惊悚",美国、英国、德国,132 分钟,2005-12-11 上映,8.9,https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/11
少年派的奇幻漂流 - Life of Pi,"剧情, 奇幻, 冒险",美国、中国台湾、英国、加拿大,127 分钟,2012-11-22 上映,8.9,https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/12
美丽心灵 - A Beautiful Mind,"剧情, 传记",美国,135 分钟,2001-12-13 上映,8.8,https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/13
初恋这件小事 - สิ่งเล็กเล็กที่เรียกว่า...รัก,"喜剧, 爱情",泰国,118 分钟,2012-06-05 上映,8.9,https://p1.meituan.net/movie/05bc2f0ccf97aacfa64fcac4f237cf8082385.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/14
借东西的小人阿莉埃蒂 - 借りぐらしのアリエッティ,"动画, 奇幻, 冒险",日本,94 分钟,2010-07-17 上映,8.8,https://p1.meituan.net/movie/640cc32445df972b066c9a04b194da141104515.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/15
一一 - Yi yi: A One and a Two,"剧情, 爱情, 家庭",中国台湾、日本,173 分钟,2000-05-15 上映,8.8,https://p0.meituan.net/movie/6cb23356f9d8e0b506349561c633310d102189.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/16
美丽人生 - La vita è bella,"战争, 剧情, 爱情",意大利,116 分钟,2020-01-03 上映,9.1,https://p1.meituan.net/movie/580d81a2c78bf204f45323ddb4244b6c6821175.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/17
海上钢琴师 - La leggenda del pianista sull'oceano,"剧情, 爱情, 音乐",意大利,126 分钟,2019-11-15 上映,9.1,https://p0.meituan.net/movie/609e45bd40346eb8b927381be8fb27a61760914.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/18
千与千寻 - 千と千尋の神隠し,"动画, 冒险, 奇幻, 家庭",日本,125 分钟,2019-06-21 上映,9.1,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/19
迁徙的鸟 - The Travelling Birds,纪录片,法国、德国、意大利、西班牙、瑞士,98 分钟,2001-12-12 上映,9.1,https://p1.meituan.net/movie/a1634f4e49c8517ae0a3e4adcac6b0dc43994.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/20
"黄金三镖客 - Il buono, il brutto, il cattivo.","西部, 冒险",意大利、西班牙、西德,161 分钟,1966-12-23 上映,9.1,https://p0.meituan.net/movie/cd18ed2c5cda9e71e17e5e6ef61ced172912303.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/21
海洋 - Océans,纪录片,法国、瑞士、西班牙、美国、阿联酋,104 分钟,2011-08-12 上映,9.1,https://p1.meituan.net/movie/a19a7f64a10e133b68de87d2f3bc46f3111417.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/22
我爱你 - 그대를 사랑합니다,"剧情, 爱情",韩国,118 分钟,2011-02-17 上映,9.1,https://p1.meituan.net/movie/ed50b58bf636d207c56989872a91f4cf305138.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/23
阿飞正传 - Days of Being Wild,"剧情, 爱情, 犯罪",中国香港,94 分钟,2018-06-25 上映,9.1,https://p0.meituan.net/movie/85215b28d568ea8e2c97766edd95f890210522.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/24
7号房的礼物 - 7번방의 선물,"剧情, 喜剧, 家庭",韩国,127 分钟,2013-01-23 上映,8.8,https://p1.meituan.net/movie/a53a0200eba15ba483c905c872db9bf4331099.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/36
爱·回家 - 집으로...,"剧情, 家庭",韩国,80 分钟,2002-04-05 上映,9.1,https://p0.meituan.net/movie/de1142a5dceb901eb939eb0bcfc2f88470909.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/25
龙猫 - となりのトトロ,"动画, 冒险, 奇幻, 家庭",日本,86 分钟,2018-12-14 上映,9.1,https://p0.meituan.net/movie/c304c687e287c7c2f9e22cf78257872d277201.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/26
七武士 - 七人の侍,"剧情, 动作, 冒险",日本,207 分钟,1954-04-26 上映,8.8,https://p1.meituan.net/movie/4ffca83fd972f71e291f8ea8d78a4b58594878.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/27
美国往事 - Once Upon a Time in America,"剧情, 犯罪",意大利、美国,229 分钟,2015-04-23 上映,8.8,https://p1.meituan.net/movie/92198a6fc8c3f5d13aa1bdf203572c0f99438.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/28
完美的世界 - A Perfect World,"剧情, 犯罪",美国,138 分钟,1993-11-24 上映,8.8,https://p1.meituan.net/movie/30310858fdab34c7a17cfd7ec8ad8bfc112201.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/29
上帝之城 - Cidade de Deus,"剧情, 犯罪",巴西、法国,130 分钟,,8.8,https://p1.meituan.net/movie/b553d13f30100db731ab6cf45668e52d94703.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/30
辩护人 - 변호인,剧情,韩国,127 分钟,2013-12-18 上映,8.8,https://p0.meituan.net/movie/1433d81b10d116239dbbf02a06ac3c19265682.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/31
忠犬八公物语 - ハチ公物語,剧情,日本,107 分钟,1987-08-01 上映,8.8,https://p0.meituan.net/movie/2d42e00d7ee59ff5bd574f93b8558aa726665.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/32
海豚湾 - The Cove,纪录片,美国,92 分钟,2009-07-31 上映,8.8,https://p0.meituan.net/movie/eb2ea56996f21e7fb47b1a0736c7f177258901.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/33
英雄本色 - A Better Tomorrow,"剧情, 动作, 犯罪",中国香港,95 分钟,2017-11-17 上映,8.8,https://p0.meituan.net/movie/3e5f5f3aa4b7e5576521e26c2c7c894d253975.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/34
恐怖直播 - 더 테러 라이브,"剧情, 悬疑, 犯罪",韩国,97 分钟,2013-07-31 上映,8.8,https://p0.meituan.net/movie/1da0af2570fe697d38c4a37fdfded19b254936.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/35
窃听风暴 - Das Leben der Anderen,"剧情, 悬疑",德国,137 分钟,2006-03-23 上映,8.8,https://p0.meituan.net/movie/3985eaf3858bea0f2a3d966bf7ee2103178217.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/37
时空恋旅人 - About Time,"喜剧, 爱情, 奇幻",英国,123 分钟,2013-09-04 上映,8.8,https://p0.meituan.net/movie/6d8491386d07cda91967a6fbbd0d0788294693.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/38
穿条纹睡衣的男孩 - The Boy in the Striped Pajamas,"剧情, 战争",英国、美国,94 分钟,2008-08-28 上映,8.8,https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/39
教父 - The Godfather,"剧情, 犯罪",美国,175 分钟,2015-04-18 上映,8.8,https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/40
萤火之森 - 蛍火の杜へ,"剧情, 爱情, 动画, 奇幻",日本,45 分钟,2011-09-17 上映,8.8,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/41
素媛 - 소원,剧情,韩国,123 分钟,2013-10-02 上映,8.8,https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/42
小鞋子 - بچههای آسمان,"剧情, 家庭",伊朗,89 分钟,,8.8,https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/43
熔炉 - 도가니,剧情,韩国,125 分钟,2011-09-22 上映,8.8,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/44
大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella,"喜剧, 爱情, 奇幻",中国香港、中国大陆,110 分钟,2014-10-24 上映,8.9,https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/45
新龙门客栈 - New Dragon Gate Inn,"动作, 爱情, 武侠, 古装",中国香港、中国大陆,88 分钟,2012-02-24 上映,8.9,https://p1.meituan.net/movie/7833126c8c21a11571bb52fbdece0acb811449.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/46
触不可及 - Intouchables,"剧情, 喜剧",法国,112 分钟,2011-11-02 上映,8.9,https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/47
钢琴家 - The Pianist,"剧情, 音乐, 传记, 历史, 战争",法国、德国、英国、波兰,150 分钟,2002-05-24 上映,8.9,https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/48
本杰明·巴顿奇事 - The Curious Case of Benjamin Button,"剧情, 爱情, 奇幻",美国,166 分钟,2008-12-25 上映,8.9,https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/49
倩女幽魂 - A Chinese Ghost Story,"爱情, 奇幻, 武侠, 古装",中国香港,98 分钟,2011-04-30 上映,8.9,https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/50
哈利·波特与死亡圣器（下） - Harry Potter and the Deathly Hallows: Part 2,"剧情, 悬疑, 奇幻, 冒险",英国、美国,130 分钟,2011-08-04 上映,8.9,https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/51
甜蜜蜜 - Comrades: Almost a Love Story,"剧情, 爱情",中国香港,118 分钟,2015-02-13 上映,8.9,https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/52
蝙蝠侠：黑暗骑士崛起 - The Dark Knight Rises,"剧情, 动作, 科幻, 惊悚, 犯罪",美国、英国,165 分钟,2012-08-27 上映,8.9,https://p0.meituan.net/movie/f7f4b4099773268f8290ed033f49dc01377512.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/53
鬼子来了 - Devils on the Doorstep,"剧情, 战争",中国大陆,139 分钟,2000-05-13 上映,8.8,https://p0.meituan.net/movie/34f9202c5e823f490ffec4c69d5d0028137395.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/54
无敌破坏王 - Wreck-It Ralph,"喜剧, 动画, 奇幻, 冒险",美国,101 分钟,2012-11-06 上映,8.8,https://p1.meituan.net/movie/70a574550c4bb928dcc6a40641294785150838.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/55
致命魔术 - The Prestige,"剧情, 悬疑, 惊悚",美国、英国,130 分钟,2006-10-17 上映,8.8,https://p0.meituan.net/movie/83df1c541e6e0696e67ce7da81cb1e1a251258.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/56
神偷奶爸 - Despicable Me,"喜剧, 动画, 冒险",美国、法国,95 分钟,2010-06-20 上映,8.8,https://p0.meituan.net/movie/85c2bfba6025bfbfb53291ae5924c215308805.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/57
断背山 - Brokeback Mountain,"剧情, 爱情, 家庭",美国、加拿大,134 分钟,2005-09-02 上映,8.8,https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/58
怦然心动 - Flipped,"剧情, 喜剧, 爱情",美国,90 分钟,2010-07-26 上映,8.8,https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/59
驯龙高手 - How to Train Your Dragon,"喜剧, 动画, 奇幻, 冒险",美国,98 分钟,2010-05-14 上映,8.8,https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/60
飞屋环游记 - Up,"剧情, 喜剧, 动画, 冒险",美国,96 分钟,2009-08-04 上映,8.8,https://p0.meituan.net/movie/f9356a376358f1576da3263d998eca7a94624.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/61
黑客帝国3：矩阵革命 - The Matrix Revolutions,"动作, 科幻",美国、澳大利亚,129 分钟,2003-11-05 上映,8.8,https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/62
速度与激情5 - Fast Five,"动作, 犯罪",美国,130 分钟,2011-05-12 上映,8.9,https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/63
勇敢的心 - Braveheart,"剧情, 动作, 传记, 历史, 战争",美国,177 分钟,1995-05-18 上映,8.9,https://p1.meituan.net/movie/f8e9d5a90224746d15dfdbd53d4fae3d209420.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/64
三傻大闹宝莱坞 - 3 Idiots,"剧情, 喜剧, 爱情, 歌舞",印度,171 分钟,2011-12-08 上映,8.9,https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/65
闻香识女人 - Scent of a Woman,剧情,美国,157 分钟,1992-12-23 上映,8.9,https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/66
末代皇帝 - The Last Emperor,"剧情, 传记, 历史",英国、意大利、中国大陆、法国、美国,163 分钟,1987-10-23 上映,8.9,https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/67
风之谷 - 風の谷のナウシカ,"动画, 奇幻, 冒险",日本,117 分钟,,8.9,https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/68
大话西游之月光宝盒 - A Chinese Odyssey,"喜剧, 爱情, 奇幻, 古装",中国香港、中国大陆,87 分钟,2014-10-24 上映,8.9,https://p0.meituan.net/movie/396266d8b711958841b3536a3fa7b868211445.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/69
放牛班的春天 - Les choristes,"剧情, 音乐",法国、德国、瑞士,97 分钟,2004-10-16 上映,8.9,https://p0.meituan.net/movie/70de97ebb6b5251ecb7c3f6d7a782a7f189340.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/70
当幸福来敲门 - The Pursuit of Happyness,"剧情, 家庭, 传记",美国,117 分钟,2008-01-17 上映,8.9,https://p1.meituan.net/movie/7d1d85610651dbe1c8687781a87d1008184950.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/71
幽灵公主 - もののけ姫,"动画, 奇幻, 冒险",日本,134 分钟,1998-05-01 上映,8.9,https://p0.meituan.net/movie/a08f65e6cb50fab32df5da69ff116f593095363.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/72
十二怒汉 - 12 Angry Men,剧情,美国,96 分钟,1957-04-13 上映,8.9,https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/73
搏击俱乐部 - Fight Club,"剧情, 动作, 悬疑, 惊悚",美国、德国,139 分钟,1999-09-10 上映,8.9,https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/74
疯狂原始人 - The Croods,"喜剧, 动画, 冒险",美国,98 分钟,2013-04-20 上映,8.9,https://p1.meituan.net/movie/bc022b86345c643ca21d759166f77a553679589.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/75
阿凡达 - Avatar,"动作, 科幻, 冒险",美国、英国,162 分钟,2010-01-04 上映,8.9,https://p1.meituan.net/movie/e540384dc6c9f63bdb27cc554588a77f44305.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/76
哈尔的移动城堡 - ハウルの動く城,"动画, 奇幻, 冒险",日本,119 分钟,2004-09-05 上映,8.9,https://p0.meituan.net/movie/0127b451d5b8f0679c6f81c8ed414bb2432442.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/77
盗梦空间 - Inception,"剧情, 科幻, 悬疑, 冒险",美国、英国,148 分钟,2010-09-01 上映,8.9,https://p1.meituan.net/movie/d40efe1183f29d5900f5c60be3c8a89d339225.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/78
忠犬八公的故事 - Hachi: A Dog's Tale,剧情,美国、英国,93 分钟,2009-06-13 上映,8.9,https://p0.meituan.net/movie/5f0a709378d6b567807aa9685610f818282136.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/79
拯救大兵瑞恩 - Saving Private Ryan,"剧情, 历史, 战争",美国,169 分钟,1998-11-13 上映,8.9,https://p1.meituan.net/movie/a2a287c77415dc1f85b04d288f7d63ab1089754.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/80
活着 - To Live,"剧情, 家庭, 历史",中国大陆、中国香港,132 分钟,1994-05-17 上映,9.0,https://p0.meituan.net/movie/4c41068ef7608c1d4fbfbe6016e589f7204391.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/81
机器人总动员 - WALL·E,"喜剧, 科幻, 动画",美国,98 分钟,2008-06-27 上映,9.0,https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/82
天堂电影院 - Nuovo Cinema Paradiso,"剧情, 爱情",意大利、法国,155 分钟,1988-11-17 上映,9.0,https://p0.meituan.net/movie/76fc92cfa6c8f2959431b8aa604ef7ae126414.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/83
指环王2：双塔奇兵 - The Lord of the Rings: The Two Towers,"剧情, 动作, 奇幻, 冒险",美国、新西兰,179 分钟,2003-04-25 上映,9.0,https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/84
指环王1：护戒使者 - The Lord of the Rings: The Fellowship of the Ring,"剧情, 动作, 奇幻, 冒险",新西兰、美国,178 分钟,2002-04-04 上映,9.0,https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/85
射雕英雄传之东成西就 - The Eagle Shooting Heroes,"喜剧, 奇幻, 武侠, 古装",中国香港,113 分钟,1993-02-05 上映,9.0,https://p0.meituan.net/movie/86c5190ba1d1236093c13f2fe9ed8dd4150050.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/86
蝙蝠侠：黑暗骑士 - The Dark Knight,"剧情, 动作, 科幻, 惊悚, 犯罪",美国、英国,152 分钟,2008-07-14 上映,9.0,https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/87
无间道 - Infernal Affairs,"剧情, 悬疑, 犯罪",中国香港,101 分钟,2003-09-05 上映,9.0,https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/88
教父2 - The Godfather: Part Ⅱ,"剧情, 犯罪",美国,202 分钟,1974-12-12 上映,9.0,https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/89
加勒比海盗 - Pirates of the Caribbean: The Curse of the Black Pearl,"动作, 奇幻, 冒险",美国,143 分钟,2003-11-21 上映,9.0,https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/90
哈利·波特与魔法石 - Harry Potter and the Sorcerer's Stone,"奇幻, 冒险",美国、英国,152 分钟,2002-01-26 上映,9.0,https://p0.meituan.net/movie/d66b56b77b55aa3da5987b68948444c9106742.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/91
指环王3：王者无敌 - The Lord of the Rings: The Return of the King,"剧情, 动作, 奇幻, 冒险",美国、新西兰,201 分钟,2004-03-15 上映,9.0,https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/92
黑客帝国 - The Matrix,"动作, 科幻",美国、澳大利亚,136 分钟,2000-01-14 上映,9.0,https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/93
剪刀手爱德华 - Edward Scissorhands,"剧情, 爱情, 奇幻",美国,105 分钟,1990-12-06 上映,9.0,https://p1.meituan.net/movie/6a964e9cee699267053bd6a4bf6f2671195394.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/94
春光乍泄 - Happy Together,"剧情, 爱情",中国香港、日本、韩国,96 分钟,1997-05-17 上映,9.0,https://p0.meituan.net/movie/ae7245920d95c03765fe1615f3a1fe3865785.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/95
大闹天宫 - The Monkey King,"动画, 奇幻",中国大陆,114 分钟,1965-12-31 上映,9.0,https://p1.meituan.net/movie/14a7b337e8063e3ce05a5993ed80176b74208.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/96
天空之城 - 天空の城ラピュタ,"动画, 奇幻, 冒险",日本,125 分钟,1992-05-01 上映,9.0,https://p1.meituan.net/movie/ba1ed511668402605ed369350ab779d6319397.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/97
音乐之声 - The Sound of Music,"剧情, 爱情, 歌舞, 传记",美国,174 分钟,1965-03-02 上映,9.0,https://p0.meituan.net/movie/ef6d7e040278f3d727306745e8df1af5246411.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/98
辛德勒的名单 - Schindler's List,"剧情, 历史, 战争",美国,195 分钟,1993-11-30 上映,9.5,https://p0.meituan.net/movie/b0d986a8bf89278afbb19f6abaef70f31206570.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/99
魂断蓝桥 - Waterloo Bridge,"剧情, 爱情, 战争",美国,108 分钟,1940-05-17 上映,9.5,https://p0.meituan.net/movie/58782fa5439c25d764713f711ebecd1e201941.jpg@464w_644h_1e_1c,https://ssr1.scrape.center/detail/100
